title,author,genre,book_url,image_url
Подолати минуле: глобальна історія України,Ярослав Грицак,Нехудожня література (нон-фікшн),/catalog/zahalna-istoriya-ukrayiny/podolaty-mynule-hlobalna-istoriya-ukrayiny/,https://book-ye.com.ua//upload/resize_cache/iblock/6ee/230_355_1/15f3852a_31b9_11ec_8152_0050568ef5e6_bd0ecb96_c466_11ec_816f_0050568ef5e6.jpg
"Іди туди, де страшно. І матимеш те, про що мрієш",Джим Доулесс,Нехудожня література (нон-фікшн),/catalog/psykholohiya/idy-tudy-de-strashno-i-matymesh-te-pro-shcho-mriyesh/,https://book-ye.com.ua//upload/resize_cache/iblock/2a4/230_355_1/6daa86b5_1308_11ed_8173_0050568ef5e6_ae6ed2ce_1309_11ed_8173_0050568ef5e6.jpg
"Матера вам не наймичка, або Чому діти це — прекрасно...",Катя Бльостка,Нехудожня література (нон-фікшн),/catalog/pedahohika-ta-vykhovannya/matera-vam-ne-najmychka-abo-chomu-dity-tse-prekrasno-/,https://book-ye.com.ua//upload/resize_cache/iblock/429/230_355_1/d982a9a6_f8f3_11eb_8150_0050568ef5e6_425ef70c_1230_11ec_8150_0050568ef5e6.jpg
Справа Василя Стуса. Збірка документів з архіву КДБ УРСР,Вахтанг Кіпіані,Нехудожня література (нон-фікшн),/catalog/arkhivoznavstvo/sprava-vasylya-stusa-zbirka-dokumentiv-z-arkhivu-kdb-ursr/,https://book-ye.com.ua//upload/resize_cache/iblock/2f7/230_355_1/e2ffbad5_849f_11e9_8112_000c29ae1566_d6f328be_2ebc_11ed_8175_0050568ef5e6.jpg
Кулінарна книга Гаррі Поттера. Неофіційне ілюстроване видання,Том Ґрімм,Нехудожня література (нон-фікшн),/catalog/zakhoplennya/kulinarna-knyha-garri-pottera-neofitsijne-ilyustrovane-vydannya/,https://book-ye.com.ua//upload/resize_cache/iblock/50e/230_355_1/8730be28_2509_11ed_8175_0050568ef5e6_9a5a15d0_250a_11ed_8175_0050568ef5e6.jpg
Вільні діти емоційно незрілих батьків,Ліндсі К. Гібсон,Нехудожня література (нон-фікшн),/catalog/psykholohiya/vilni-dity-emotsijno-nezrilykh-batkiv/,https://book-ye.com.ua//upload/resize_cache/iblock/dec/230_355_1/4cf3f220_8693_11ed_8177_0050568ef5e6_d8244bc5_8694_11ed_8177_0050568ef5e6.jpg
Нещасна земля,Тоні Джадт,Нехудожня література (нон-фікшн),/catalog/istoriohrafiya/neshchasna-zemlya/,https://book-ye.com.ua//upload/resize_cache/iblock/327/230_355_1/bc30e4cf_6408_11ed_8175_0050568ef5e6_d4bd43e6_6409_11ed_8175_0050568ef5e6.jpg
"Війна 2022. Щоденники, есеї, поезія",Сергій Жадан,Нехудожня література (нон-фікшн),/catalog/memuary-lysty-shchodennyky/vijna-2022-shchodennyky-eseyi-poeziya/,https://book-ye.com.ua//upload/resize_cache/iblock/d7c/230_355_1/3fb5b491_7ac1_11ed_8177_0050568ef5e6_b404cce8_7ac5_11ed_8177_0050568ef5e6.jpg
Зелене світло,Метью Макконагі,Нехудожня література (нон-фікшн),/catalog/memuary-lysty-shchodennyky/zelene-svitlo/,https://book-ye.com.ua//upload/resize_cache/iblock/84b/230_355_1/b833fe36_e084_11eb_8150_0050568ef5e6_6c3d9dc8_5bee_11ec_815d_0050568ef5e6.jpg
Секс і німецько-радянська війна,Володимир Гінда,Нехудожня література (нон-фікшн),/catalog/memuary-lysty-shchodennyky/seks-i-nimetsko-radyanska-vijna/,https://book-ye.com.ua//upload/resize_cache/iblock/114/230_355_1/cf028600_0cb5_11ed_8173_0050568ef5e6_826bd181_0cb7_11ed_8173_0050568ef5e6.jpg
"Жінка, яка має план. Життя, сповнене пригод, краси й успіху",Мей Маск,Нехудожня література (нон-фікшн),/catalog/memuary-lysty-shchodennyky/zhinka-yaka-maye-plan-zhyttya-spovnene-pryhod-krasy-j-uspikhu/,https://book-ye.com.ua//upload/resize_cache/iblock/2fe/230_355_1/4cf1563a_7da1_11eb_814a_0050568ef5e6_cd4054cd_7da1_11eb_814a_0050568ef5e6.jpg
